, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 16.667101
, pressLevel: 0.008334, pressLevel: 0.008334elapsedTime: 33.334099
, pressLevel: 0.016667, pressLevel: 0.016667elapsedTime: 50.000999
, pressLevel: 0.025000, pressLevel: 0.025000elapsedTime: 66.667900
, pressLevel: 0.033334, pressLevel: 0.033334elapsedTime: 83.334900
, pressLevel: 0.041667, pressLevel: 0.041667elapsedTime: 100.001900
, pressLevel: 0.050001, pressLevel: 0.050001elapsedTime: 116.668800
, pressLevel: 0.058334, pressLevel: 0.058334elapsedTime: 133.335602
, pressLevel: 0.066668, pressLevel: 0.066668elapsedTime: 150.002594
, pressLevel: 0.075001, pressLevel: 0.075001elapsedTime: 166.669495
, pressLevel: 0.083335, pressLevel: 0.083335elapsedTime: 183.336594
, pressLevel: 0.091668, pressLevel: 0.091668elapsedTime: 200.003891
, pressLevel: 0.100002, pressLevel: 0.100002elapsedTime: 216.671097
, pressLevel: 0.108336, pressLevel: 0.108336elapsedTime: 233.338898
, pressLevel: 0.116669, pressLevel: 0.116669elapsedTime: 250.006302
, pressLevel: 0.125003, pressLevel: 0.125003elapsedTime: 266.673004
, pressLevel: 0.133336, pressLevel: 0.133336elapsedTime: 283.340210
, pressLevel: 0.141670, pressLevel: 0.141670elapsedTime: 300.007324
, pressLevel: 0.150004, pressLevel: 0.150004elapsedTime: 316.674622
, pressLevel: 0.158337, pressLevel: 0.158337elapsedTime: 333.342010
, pressLevel: 0.166671, pressLevel: 0.166671elapsedTime: 350.009003
, pressLevel: 0.175004, pressLevel: 0.175004elapsedTime: 366.675995
, pressLevel: 0.183338, pressLevel: 0.183338elapsedTime: 383.343292
, pressLevel: 0.191672, pressLevel: 0.191672elapsedTime: 400.010193
, pressLevel: 0.200005, pressLevel: 0.200005elapsedTime: 416.677002
, pressLevel: 0.208338, pressLevel: 0.208338elapsedTime: 433.343689
, pressLevel: 0.216672, pressLevel: 0.216672elapsedTime: 450.010895
, pressLevel: 0.225005, pressLevel: 0.225005elapsedTime: 466.678284
, pressLevel: 0.233339, pressLevel: 0.233339elapsedTime: 483.345581
, pressLevel: 0.241673, pressLevel: 0.241673elapsedTime: 500.013367
, pressLevel: 0.250007, pressLevel: 0.250007elapsedTime: 516.680542
, pressLevel: 0.258340, pressLevel: 0.258340elapsedTime: 533.347961
, pressLevel: 0.266674, pressLevel: 0.266674elapsedTime: 550.014954
, pressLevel: 0.275007, pressLevel: 0.275007elapsedTime: 566.682068
, pressLevel: 0.283341, pressLevel: 0.283341elapsedTime: 583.349243
, pressLevel: 0.291675, pressLevel: 0.291675elapsedTime: 600.016052
, pressLevel: 0.300008, pressLevel: 0.300008elapsedTime: 616.683350
, pressLevel: 0.308342, pressLevel: 0.308342elapsedTime: 633.350342
, pressLevel: 0.316675, pressLevel: 0.316675elapsedTime: 650.017456
, pressLevel: 0.325009, pressLevel: 0.325009elapsedTime: 666.684143
, pressLevel: 0.333342, pressLevel: 0.333342elapsedTime: 683.351074
, pressLevel: 0.341676, pressLevel: 0.341676elapsedTime: 700.018250
, pressLevel: 0.350009, pressLevel: 0.350009elapsedTime: 716.685364
, pressLevel: 0.358343, pressLevel: 0.358343elapsedTime: 733.352783
, pressLevel: 0.366676, pressLevel: 0.366676elapsedTime: 750.019775
, pressLevel: 0.375010, pressLevel: 0.375010elapsedTime: 766.687073
, pressLevel: 0.383344, pressLevel: 0.383344elapsedTime: 783.354370
, pressLevel: 0.391677, pressLevel: 0.391677elapsedTime: 800.021545
, pressLevel: 0.400011, pressLevel: 0.400011elapsedTime: 816.688232
, pressLevel: 0.408344, pressLevel: 0.408344elapsedTime: 833.355042
, pressLevel: 0.416678, pressLevel: 0.416678elapsedTime: 850.021851
, pressLevel: 0.425011, pressLevel: 0.425011elapsedTime: 866.688660
, pressLevel: 0.433344, pressLevel: 0.433344elapsedTime: 883.355774
, pressLevel: 0.441678, pressLevel: 0.441678elapsedTime: 900.022888
, pressLevel: 0.450011, pressLevel: 0.450011elapsedTime: 916.689880
, pressLevel: 0.458345, pressLevel: 0.458345elapsedTime: 933.356812
, pressLevel: 0.466678, pressLevel: 0.466678elapsedTime: 950.024109
, pressLevel: 0.475012, pressLevel: 0.475012elapsedTime: 966.690796
, pressLevel: 0.483345, pressLevel: 0.483345elapsedTime: 983.357605
, pressLevel: 0.491679, pressLevel: 0.491679elapsedTime: 1000.024536
, pressLevel: 0.500012, pressLevel: 0.500012elapsedTime: 1016.691956
, pressLevel: 0.508346, pressLevel: 0.508346elapsedTime: 1033.359131
, pressLevel: 0.516680, pressLevel: 0.516680elapsedTime: 1050.025879
, pressLevel: 0.525013, pressLevel: 0.525013elapsedTime: 1066.692627
, pressLevel: 0.533346, pressLevel: 0.533346elapsedTime: 1083.359375
, pressLevel: 0.541680, pressLevel: 0.541680elapsedTime: 1100.026611
, pressLevel: 0.550013, pressLevel: 0.550013elapsedTime: 1116.693359
, pressLevel: 0.558347, pressLevel: 0.558347elapsedTime: 1133.360107
, pressLevel: 0.566680, pressLevel: 0.566680elapsedTime: 1150.026978
, pressLevel: 0.575014, pressLevel: 0.575014elapsedTime: 1166.693726
, pressLevel: 0.583347, pressLevel: 0.583347elapsedTime: 1183.360474
, pressLevel: 0.591680, pressLevel: 0.591680elapsedTime: 1200.027222
, pressLevel: 0.600014, pressLevel: 0.600014elapsedTime: 1216.694092
, pressLevel: 0.608347, pressLevel: 0.608347elapsedTime: 1233.361084
, pressLevel: 0.616681, pressLevel: 0.616681elapsedTime: 1250.028320
, pressLevel: 0.625014, pressLevel: 0.625014elapsedTime: 1266.695068
, pressLevel: 0.633348, pressLevel: 0.633348elapsedTime: 1283.362061
, pressLevel: 0.641681, pressLevel: 0.641681elapsedTime: 1300.029419
, pressLevel: 0.650015, pressLevel: 0.650015elapsedTime: 1316.696777
, pressLevel: 0.658348, pressLevel: 0.658348elapsedTime: 1333.363892
, pressLevel: 0.666682, pressLevel: 0.666682elapsedTime: 1350.031250
, pressLevel: 0.675016, pressLevel: 0.675016elapsedTime: 1366.698242
, pressLevel: 0.683349, pressLevel: 0.683349elapsedTime: 1383.364990
, pressLevel: 0.691683, pressLevel: 0.691683elapsedTime: 1400.031860
, pressLevel: 0.700016, pressLevel: 0.700016elapsedTime: 1416.699097
, pressLevel: 0.708350, pressLevel: 0.708350elapsedTime: 1433.366333
, pressLevel: 0.716683, pressLevel: 0.716683elapsedTime: 1450.033081
, pressLevel: 0.725017, pressLevel: 0.725017elapsedTime: 1466.699829
, pressLevel: 0.733350, pressLevel: 0.733350elapsedTime: 1483.366943
, pressLevel: 0.741683, pressLevel: 0.741683elapsedTime: 1500.033936
, pressLevel: 0.750017, pressLevel: 0.750017elapsedTime: 1516.700684
, pressLevel: 0.758350, pressLevel: 0.758350elapsedTime: 1533.367798
, pressLevel: 0.766684, pressLevel: 0.766684elapsedTime: 1550.035156
, pressLevel: 0.775018, pressLevel: 0.775018elapsedTime: 1566.702148
, pressLevel: 0.783351, pressLevel: 0.783351elapsedTime: 1583.369141
, pressLevel: 0.791685, pressLevel: 0.791685elapsedTime: 1600.036255
, pressLevel: 0.800018, pressLevel: 0.800018elapsedTime: 1616.703491
, pressLevel: 0.808352, pressLevel: 0.808352elapsedTime: 1633.370483
, pressLevel: 0.816685, pressLevel: 0.816685elapsedTime: 1650.037598
, pressLevel: 0.825019, pressLevel: 0.825019elapsedTime: 1666.704956
, pressLevel: 0.833353, pressLevel: 0.833353elapsedTime: 1683.371826
, pressLevel: 0.841686, pressLevel: 0.841686elapsedTime: 1700.038574
, pressLevel: 0.850019, pressLevel: 0.850019elapsedTime: 1716.705688
, pressLevel: 0.858353, pressLevel: 0.858353elapsedTime: 1733.372437
, pressLevel: 0.866686, pressLevel: 0.866686elapsedTime: 1750.039429
, pressLevel: 0.875020, pressLevel: 0.875020elapsedTime: 1766.706787
, pressLevel: 0.883353, pressLevel: 0.883353elapsedTime: 1783.373779
, pressLevel: 0.891687, pressLevel: 0.891687elapsedTime: 1800.044434
, pressLevel: 0.900022, pressLevel: 0.900022elapsedTime: 1816.711182
, pressLevel: 0.908356, pressLevel: 0.908356elapsedTime: 1816.711182
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
, pressLevel: 0.000000, pressLevel: 0.000000elapsedTime: 0.000000
